Country/Region,month,year,value
Afghanistan,January,2020,0
Afghanistan,February,2020,5
Afghanistan,March,2020,161
Afghanistan,April,2020,1661
Afghanistan,May,2020,13353
Afghanistan,June,2020,16265
Afghanistan,July,2020,5183
Afghanistan,August,2020,1620
Afghanistan,September,2020,1106
Afghanistan,October,2020,1980
Afghanistan,November,2020,4881
Afghanistan,December,2020,6115
Afghanistan,January,2021,2693
Afghanistan,February,2021,691
Afghanistan,March,2021,740
Afghanistan,April,2021,3291
Afghanistan,May,2021,12093
Afghanistan,June,2021,46821
Afghanistan,July,2021,28495
Afghanistan,August,2021,6066
Afghanistan,September,2021,1954
Afghanistan,October,2021,1076
Afghanistan,November,2021,1039
Afghanistan,December,2021,795
Afghanistan,January,2022,4842
Afghanistan,February,2022,10733
Afghanistan,March,2022,4088
Afghanistan,April,2022,1132
Afghanistan,May,2022,1468
Afghanistan,June,2022,2181
Afghanistan,July,2022,0
Afghanistan,August,2022,0
Afghanistan,September,2022,0
Afghanistan,October,2022,0
Afghanistan,November,2022,0
Afghanistan,December,2022,0
Albania,January,2020,0
Albania,February,2020,0
Albania,March,2020,243
Albania,April,2020,530
Albania,May,2020,364
Albania,June,2020,1398
Albania,July,2020,2741
Albania,August,2020,4237
Albania,September,2020,4136
Albania,October,2020,7226
Albania,November,2020,17307
Albania,December,2020,20134
Albania,January,2021,19811
Albania,February,2021,29040
Albania,March,2021,17990
Albania,April,2021,5928
Albania,May,2021,1230
Albania,June,2021,206
Albania,July,2021,560
Albania,August,2021,13306
Albania,September,2021,23744
Albania,October,2021,15169
Albania,November,2021,14645
Albania,December,2021,10279
Albania,January,2022,48319
Albania,February,2022,13020
Albania,March,2022,2114
Albania,April,2022,1430
Albania,May,2022,994
Albania,June,2022,4750
Albania,July,2022,0
Albania,August,2022,0
Albania,September,2022,0
Albania,October,2022,0
Albania,November,2022,0
Albania,December,2022,0
Algeria,January,2020,0
Algeria,February,2020,1
Algeria,March,2020,715
Algeria,April,2020,3290
Algeria,May,2020,5388
Algeria,June,2020,4513
Algeria,July,2020,16487
Algeria,August,2020,14100
Algeria,September,2020,7036
Algeria,October,2020,6412
Algeria,November,2020,25257
Algeria,December,2020,16411
Algeria,January,2021,7729
Algeria,February,2021,5753
Algeria,March,2021,4100
Algeria,April,2021,4916
Algeria,May,2021,6805
Algeria,June,2021,10713
Algeria,July,2021,31766
Algeria,August,2021,24688
Algeria,September,2021,7279
Algeria,October,2021,3093
Algeria,November,2021,4079
Algeria,December,2021,7901
Algeria,January,2022,33685
Algeria,February,2022,12819
Algeria,March,2022,735
Algeria,April,2022,109
Algeria,May,2022,104
Algeria,June,2022,203
Algeria,July,2022,0
Algeria,August,2022,0
Algeria,September,2022,0
Algeria,October,2022,0
Algeria,November,2022,0
Algeria,December,2022,0
Andorra,January,2020,0
Andorra,February,2020,0
Andorra,March,2020,376
Andorra,April,2020,369
Andorra,May,2020,19
Andorra,June,2020,91
Andorra,July,2020,70
Andorra,August,2020,251
Andorra,September,2020,874
Andorra,October,2020,2706
Andorra,November,2020,1989
Andorra,December,2020,1304
Andorra,January,2021,1888
Andorra,February,2021,929
Andorra,March,2021,1144
Andorra,April,2021,1222
Andorra,May,2021,495
Andorra,June,2021,184
Andorra,July,2021,767
Andorra,August,2021,355
Andorra,September,2021,189
Andorra,October,2021,294
Andorra,November,2021,1599
Andorra,December,2021,6625
Andorra,January,2022,12218
Andorra,February,2022,2041
Andorra,March,2022,2025
Andorra,April,2022,1325
Andorra,May,2022,1545
Andorra,June,2022,880
Andorra,July,2022,0
Andorra,August,2022,0
Andorra,September,2022,0
Andorra,October,2022,0
Andorra,November,2022,0
Andorra,December,2022,0
Angola,January,2020,0
Angola,February,2020,0
Angola,March,2020,7
Angola,April,2020,20
Angola,May,2020,59
Angola,June,2020,198
Angola,July,2020,864
Angola,August,2020,1506
Angola,September,2020,2318
Angola,October,2020,5833
Angola,November,2020,4334
Angola,December,2020,2414
Angola,January,2021,2243
Angola,February,2021,1011
Angola,March,2021,1504
Angola,April,2021,4341
Angola,May,2021,7899
Angola,June,2021,4298
Angola,July,2021,3928
Angola,August,2021,4767
Angola,September,2021,9039
Angola,October,2021,7850
Angola,November,2021,735
Angola,December,2021,16425
